sweep,value,implementation,repetition,seconds,samples,epochs,batch_size,layers
batch_size,32,CPU,1,0.4299246,16384,1,32,256x256x256
batch_size,32,CPU,2,0.4319925,16384,1,32,256x256x256
batch_size,32,CPU,3,0.4349675,16384,1,32,256x256x256
batch_size,32,GPU,1,0.7862622,16384,1,32,256x256x256
batch_size,32,GPU,2,0.7861093,16384,1,32,256x256x256
batch_size,32,GPU,3,0.7784614,16384,1,32,256x256x256
batch_size,32,GPU fused,1,0.5937779,16384,1,32,256x256x256
batch_size,32,GPU fused,2,0.5900823,16384,1,32,256x256x256
batch_size,32,GPU fused,3,0.5845546,16384,1,32,256x256x256
batch_size,64,CPU,1,0.2641282,16384,1,64,256x256x256
batch_size,64,CPU,2,0.2614468,16384,1,64,256x256x256
batch_size,64,CPU,3,0.2628655,16384,1,64,256x256x256
batch_size,64,GPU,1,0.400466,16384,1,64,256x256x256
batch_size,64,GPU,2,0.3981346,16384,1,64,256x256x256
batch_size,64,GPU,3,0.3940488,16384,1,64,256x256x256
batch_size,64,GPU fused,1,0.2953019,16384,1,64,256x256x256
batch_size,64,GPU fused,2,0.3014344,16384,1,64,256x256x256
batch_size,64,GPU fused,3,0.2991392,16384,1,64,256x256x256
batch_size,128,CPU,1,0.1762735,16384,1,128,256x256x256
batch_size,128,CPU,2,0.1752854,16384,1,128,256x256x256
batch_size,128,CPU,3,0.175273,16384,1,128,256x256x256
batch_size,128,GPU,1,0.2292331,16384,1,128,256x256x256
batch_size,128,GPU,2,0.2310805,16384,1,128,256x256x256
batch_size,128,GPU,3,0.2268611,16384,1,128,256x256x256
batch_size,128,GPU fused,1,0.1848651,16384,1,128,256x256x256
batch_size,128,GPU fused,2,0.183765,16384,1,128,256x256x256
batch_size,128,GPU fused,3,0.1754059,16384,1,128,256x256x256
batch_size,256,CPU,1,0.1364336,16384,1,256,256x256x256
batch_size,256,CPU,2,0.1369561,16384,1,256,256x256x256
batch_size,256,CPU,3,0.1377119,16384,1,256,256x256x256
batch_size,256,GPU,1,0.1253773,16384,1,256,256x256x256
batch_size,256,GPU,2,0.1216914,16384,1,256,256x256x256
batch_size,256,GPU,3,0.119259,16384,1,256,256x256x256
batch_size,256,GPU fused,1,0.096748,16384,1,256,256x256x256
batch_size,256,GPU fused,2,0.0985138,16384,1,256,256x256x256
batch_size,256,GPU fused,3,0.0988484,16384,1,256,256x256x256
batch_size,512,CPU,1,0.1186914,16384,1,512,256x256x256
batch_size,512,CPU,2,0.1133362,16384,1,512,256x256x256
batch_size,512,CPU,3,0.1124616,16384,1,512,256x256x256
